Get Out^2017^Jordan Peele^Daniel Kaluuya, Allison Williams, Bradley Whitford
The Big Sick^2017^Michael Showalter^Kumail Nanjiani, Zoe Kazan, Holly Hunter
Dunkirk^2017^Christopher Nolan^Fionn Whitehead, Barry Keoghan, Mark Rylance
Wonder Woman^2017^Patty Jenkins^Gal Gadot, Chris Pine, Robin Wright
Lady Bird^2017^Greta Gerwig^Saoirse Ronan, Laurie Metcalf, Tracy Letts
Logan^2017^James Mangold^Hugh Jackman, Patrick Stewart, Dafne Keen
Baby Driver^2017^Edgar Wright^Ansel Elgort, Jon Bernthal, Jon Hamm
Star Wars: The Last Jedi^2017^Rian Johnson^Daisy Ridley, John Boyega, Mark Hamill
Coco^2017^Lee Unkrich^Anthony Gonzalez, Gael Garc\xc3\xada Bernal, Benjamin Bratt
Thor: Ragnarok^2017^Taika Waititi^Chris Hemsworth, Tom Hiddleston, Cate Blanchett
War for the Planet of the Apes^2017^Matt Reeves^Andy Serkis, Woody Harrelson, Steve Zahn
Call Me by Your Name^2017^Luca Guadagnino^Armie Hammer, Timoth\xc3\xa9e Chalamet, Michael Stuhlbarg
Spider-Man: Homecoming^2017^Jon Watts^Tom Holland, Michael Keaton, Robert Downey Jr.
I Am Not Your Negro^2017^Raoul Peck^Samuel L. Jackson, James Baldwin, Harry Belafonte
The Florida Project^2017^Sean Baker^Brooklynn Prince, Bria Vinaite, Willem Dafoe
Hidden Figures^2017^Theodore Melfi^Taraji P. Henson, Octavia Spencer, Janelle Mon\xc3\xa1e
The Salesman (Forushande)^2017^Asghar Farhadi^Shahab Hosseini, Taraneh Alidoosti, Babak Karimi
The Shape of Water^2017^Guillermo del Toro^Sally Hawkins, Octavia Spencer, Michael Shannon
Mudbound^2017^Dee Rees^Garrett Hedlund, Carey Mulligan, Jason Clarke
Three Billboards Outside Ebbing^Missouri^2017^Martin McDonagh^Frances McDormand, Woody Harrelson, Sam Rockwell
The Disaster Artist^2017^James Franco^James Franco, Dave Franco, Ari Graynor
The Lego Batman Movie^2017^Chris McKay^Will Arnett, Michael Cera, Rosario Dawson
My Life as a Zucchini (Ma vie de courgette)^2017^Claude Barras^Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud
God's Own Country^2017^Francis Lee^Josh OConnor, Gemma Jones, Harry Lister Smith
Logan Lucky^2017^Steven Soderbergh^Channing Tatum, Adam Driver, Daniel Craig
Faces Places^2017^JR^Jean-Paul Beaujon, Amaury Bossy, Yves Boulen
City of Ghosts^2017^Matthew Heineman^Hamoud, Hussam, Mohamad
Blade Runner 2049^2017^Denis Villeneuve^Harrison Ford, Ryan Gosling, Ana de Armas
Kedi^2017^Bo Welch^Mike Myers, Spencer Breslin, Dakota Fanning
Jane^2017^Gavin O'Connor^Natalie Portman, Joel Edgerton, Ewan McGregor
After the Storm (Umi yori mo mada fukaku)^2017^Hirokazu Koreeda^Hiroshi Abe, Y\xc3\xb4ko Maki, Satomi Kobayashi
Lucky^2017^Adam Reed^H. Jon Benjamin, Judy Greer, Amber Nash
BPM (Beats Per Minute) (120 battements par minute)^2017^Robin Campillo^Nahuel P\xc3\xa9rez Biscayart, Arnaud Valois, Ad\xc3\xa8le Haenel
Bright Lights: Starring Carrie Fisher and Debbie Reynolds^2017^Alexis Bloom^Debbie Reynolds, Carrie Fisher, Todd Fisher
The Work^2017^Jairus McLeary^Brian, Charles, Dark Cloud
The Happiest Day in the Life of Olli Mäki (Hymyilevä mies)^2017^Juho Kuosmanen^Jarkko Lahti, Oona Airola, Eero Milonoff
Quest^2017^Jean-Claude Van Damme^Jean-Claude Van Damme, Roger Moore, James Remar
Dawson City: Frozen Time^2017^Bill Morrison^Kathy Jones-Gates, Michael Gates, Sam Kula
Columbus^2017^Kogonada^John Cho, Haley Lu Richardson, Parker Posey
Your Name. (Kimi No Na Wa.)^2017^Leonardo Hwan^unknown
Menashe^2017^Joshua Z Weinstein^Menashe Lustig, Yoel Falkowitz, Ruben Niborski
The Red Turtle (La tortue rouge)^2017^Michael Dudok de Wit^Emmanuel Garijo, Tom Hudson, Baptiste Goy
Truman^2017^Cesc Gay^Ricardo Dar\xc3\xadn, Javier C\xc3\xa1mara, Dolores Fonzi
In This Corner of the World (Kono sekai no katasumi ni)^2017^Sunao Katabuchi^Non, Kira Buckland, Christine Marie Cabanos
Graduation (Bacalaureat)^2017^Cristian Mungiu^Adrian Titieni, Maria Dragus, Lia Bugnar
I^Daniel Blake^2017^S. Shankar^Vikram, Amy Jackson, Suresh Gopi
Whose Streets?^2017^Sabaah Folayan^Brittany Ferrell, Bassem Masri, Tef Poe
A Ghost Story^2017^David Lowery^Casey Affleck, Rooney Mara, McColm Cephas Jr.
Stronger^2017^David Gordon Green^Jake Gyllenhaal, Tatiana Maslany, Miranda Richardson
Dina^2017^David Lynch^Kyle MacLachlan, Virginia Madsen, Francesca Annis
Good Time^2017^Benny Safdie^Robert Pattinson, Benny Safdie, Jennifer Jason Leigh
Trophy^2017^Christina Clusiau^
The Death of Stalin^2017^Armando Iannucci^Steve Buscemi, Olga Kurylenko, Jason Isaacs
The Last Laugh^2017^Greg Pritikin^Chevy Chase, Andie MacDowell, Richard Dreyfuss
John Wick: Chapter 2^2017^Chad Stahelski^Keanu Reeves, Riccardo Scamarcio, Ian McShane
The Meyerowitz Stories (New and Selected)^2017^Noah Baumbach^Adam Sandler, Grace Van Patten, Dustin Hoffman
It^2017^Andy Muschietti^Bill Skarsg\xc3\xa5rd, Jaeden Lieberher, Finn Wolfhard
Step^2017^Amanda Lipitz^Paula Dofat, Blessin Giraldo, Cori Grainger
Guardians of the Galaxy Vol. 2^2017^James Gunn^Chris Pratt, Zoe Saldana, Dave Bautista
The B-Side: Elsa Dorfman's Portrait Photography^2017^Errol Morris^
Ex Libris: New York Public Library^2017^Frederick Wiseman^
The Women's Balcony (Ismach Hatani)^2017^Emil Ben-Shimon^Evelin Hagoel, Igal Naor, Orna Banai
I Called Him Morgan^2017^Kasper Collin^Lee Morgan, Helen Morgan, Wayne Shorter
A Quiet Passion^2017^Terence Davies^Emma Bell, Sara Vertongen, Rose Williams
American Made^2017^Doug Liman^Tom Cruise, Domhnall Gleeson, Sarah Wright
It Comes At Night^2017^Trey Edward Shults^Joel Edgerton, Christopher Abbott, Carmen Ejogo
